,Narrative,Topic
55,Modern leaders are secretly linked to Nazis and their decisions reflect that history.,The Ukraine-Russia War
56,France actively escalates Ukraine war by deploying troops and arms against Russia.,The Ukraine-Russia War
57,Governments use vaccines to control and harm citizens.,COVID-19
58,COVID-19 and flu are essentially the same illness.,COVID-19
59,Hungary's government provides only true metrics on economic improvement.,Other
60,USA helps Ukraine make secret bioweapons and nuclear bombs.,The Ukraine-Russia War
61,Political leaders are untrustworthy and have hidden agendas against citizens.,Migration
62,Immigrants are causing chaos and destruction in France during riots.,Migration
63,Vaccine companies secretly created COVID-19 to profit from vaccines.,COVID-19
64,US HAARP technology weaponizes weather and triggers earthquakes globally.,Climate Change
65,Chaos surrounding Trump and Pelosi is fabricated for political manipulation.,Other
66,Migrants are invading Europe and causing chaos everywhere they go.,Migration
67,Ukraine deliberately committed terror acts in Russia and publicly acknowledged it.,The Ukraine-Russia War
68,Germany lacks sovereignty and is an occupied state without full legitimacy.,Other
69,Famous figures said everyone lies and deceives to control people worldwide.,Other
70,"Europe is mismanaged with excessive taxes, inequality, and poor living conditions.",The European Union
71,Wind turbines cause more environmental harm than they provide clean energy.,Climate Change
72,Everyday items are more dangerous to health than you think.,Other
73,Fake online contests manipulate people to give personal data for false rewards.,Other
74,Elon Musk controls information and media on social media.,Other
75,The Simpsons creators can see the future and warn us through episodes.,Other
76,Electric vehicles frequently catch fire and pose safety risks in various scenarios.,Climate Change
77,Ukrainian leadership promotes and supports Nazi ideology and symbols.,The Ukraine-Russia War
78,"Yemeni Houthis are attacking multiple ships, including US and British, in Red Sea.",Other
79,World leaders using AI to create a one-world religion and control people.,Other
80,Sunscreen and sunglasses worsen skin and mole cancer risk.,Other
81,Media questions legitimacy and competence of Ukraine's leadership in conflict.,The Ukraine-Russia War
82,Zelensky uses body doubles and fake videos to deceive the public.,The Ukraine-Russia War
83,Migrants everywhere in Europe are causing disorder and crime.,Migration
84,Facebook misleads users about privacy settings and charges hidden fees.,Other
85,Valuable items are sold for almost nothing at airports and online.,Other
86,European leaders aim to remove cultural and religious traditions across society.,The European Union
87,Political figures and journalists secretly manipulated elections and events for personal gain.,Other
88,Governments manipulate prices to exploit and increase revenue from consumers.,Other
89,Vaccines have hidden ingredients that harm and magnetize people.,COVID-19
90,Local farming harms environment less than food imports.,Other
91,Global elites plan mass population control to address climate issues.,Other
92,Vladimir Putin submits to powerful leaders and events worldwide.,The Ukraine-Russia War
93,Ivermectin and common remedies easily cure COVID-19 and stop all deaths.,COVID-19
94,Iran aggressively targets Israel and US with fake videos celebrating minor victories.,Other
95,Yulia Navalnaya swiftly moved on after Alexei Navalny's controversial death.,The Ukraine-Russia War
96,Mandatory microchips will secretly track and control all citizens.,Other
97,Eiffel Tower and Vatican repeatedly burning in Europe create widespread chaos.,Other
98,Covid vaccines damage immunity and lead to AIDS.,Other
99,Transgender individuals are unfairly participating in and impacting women's sports.,LGBTQ+
100,EU wants to control all aspects of daily life.,The European Union
101,Governments are secretly spraying chemtrails to manipulate weather.,Other
102,Western military aid to Ukraine is ineffective and harmful.,The Ukraine-Russia War
103,Numerous prominent figures are dying in bizarre ways unexpectedly.,Other
104,COVID-19 tests are inaccurate and cannot be trusted.,COVID-19
105,WHO aims for global control through pandemic policies and forced vaccinations.,Other
106,Journalists fake danger in reports to deceive viewers about conflict severity.,Other
107,Russia is symbolically showing power over Western landmarks with pro-Soviet imagery.,The Ukraine-Russia War
108,Ukrainian officials misuse aid money on luxury villas and yachts internationally.,The Ukraine-Russia War
109,Global unrest as world protests against Israel supporting Palestine.,The Israel-Palestine Conflict
110,Zelensky demands foreign soldiers fight and die for Ukrainian interests.,The Ukraine-Russia War
111,5G and modern tech are harmful and cause health issues.,Other
112,EU hides insects in food to trick people into eating them.,The European Union
113,Governments want digital money to spy on everyone and ban cash.,Other
114,Energy weapons are deliberately used to start and control wildfires everywhere.,Climate Change
115,Zelensky is depicted as corrupt and exploiting foreign financial support.,The Ukraine-Russia War
116,Covid vaccines are deadly and unsafe for everyone.,COVID-19
117,Children are being kidnapped everywhere by strangers in vans.,Other
118,Vaccines spark monkeypox spread as a global control strategy.,COVID-19
119,"Humans consume unnatural products, robots, and human-derived substances.",Other
120,Negative billboards about Zelensky appear in major cities globally.,The Ukraine-Russia War
121,Everyone in Europe will lose pensions due to continuous policy failures.,Other
